,Word,Frequenty
1326,severely,1
1327,curtail,1
1328,liberty,1
1329,vigorously,1
1330,suppress,1
1331,dissent,1
1332,purge,1
1333,punishment,1
1334,deportation,1
1335,internment,1
1336,labour,1
1337,camp,1
1338,prison,1
1339,sometimes,1
1340,extrajudicial,1
1341,nevertheless,1
1342,resistance,1
1343,bloc,1
1344,commission,1
1345,victim,1
1346,repression,1
1347,conduct,1
1348,independently,1
1349,refuse,1
1350,czechoslovakia,1
1351,publicly,1
1352,condemn,1
1353,mistake,1
1354,serious,1
1355,danger,1
1356,fate,1
1357,maintain,1
1358,arab,1
1359,key,1
1360,talk,1
1361,brought,1
1362,sharply,1
1363,autocratic,1
1364,initiate,1
1365,reimbursement,1
1366,austerity,1
1367,step,1
1368,impoverish,1
1369,exhaust,1
1370,succeed,1
1371,repay,1
1372,greatly,1
1373,extend,1
1374,authority,1
1375,police,1
1376,severe,1
1377,cult,1
1378,personality,1
1379,overthrow,1
1380,eventual,1
1381,execution,1
1382,together,1
1383,wife,1
1384,injured,1
1385,charge,1
1386,starvation,1
1387,victoria,1
1388,salvation,1
1389,april,1
1390,accuse,1
1391,nsf,1
1392,what,1
1393,golaniad,1
1394,peaceful,1
1395,degenerate,1
1396,violence,1
1397,miner,1
1398,summon,1
1399,episode,1
1400,remember,1
1401,disintegration,1
1402,head,1
1403,then,1
1404,constantinescu,1
1405,return,1
1406,narrowly,1
1407,tricolor,1
1408,twice,1
1409,impeach,1
1410,background,1
1411,occur,1
1412,earlier,1
1413,suspension,1
1414,oust,1
1415,voter,1
1416,initially,1
1417,nonetheless,1
1418,split,1
1419,decision,1
1420,invalid,1
1421,outcome,1
1422,too,1
1423,supporter,1
1424,invalidate,1
1425,insufficient,1
1426,johannis,1
1427,unexpectedly,1
1428,opinion,1
1429,poll,1
1430,surprise,1
1431,attribute,1
1432,tour,1
1433,nationwide,1
1434,fact,1
1435,enterprise,1
1436,operate,1
1437,valentin,1
1438,mândrăşescu,1
1439,editor,1
1440,voice,1
1441,sell,1
1442,foreigner,1
1443,significantly,1
1444,undervalue,1
1445,price,1
1446,furthermore,1
1447,comercială,1
1448,opponent,1
1449,detrimental,1
1450,exploitation,1
1451,mineral,1
1452,metal,1
1453,permit,1
1454,multinational,1
1455,giant,1
1456,chevron,1
1457,prospect,1
1458,hydraulic,1
1459,fracking,1
1460,technique,1
1461,claimed,1
1462,pollute,1
1463,freshwater,1
1464,affected,1
1465,issue,1
1466,massive,1
1467,wake,1
1468,colectiv,1
1469,nightclub,1
1470,resignation,1
1471,response,1
1472,perceive,1
1473,weaken,1
1474,across,1
1475,cold,1
1476,closer,1
1477,lisbon,1
1478,apply,1
1479,associate,1
1480,accede,1
1481,tiger,1
1482,accompany,1
1483,successfully,1
1484,reduce,1
1485,functional,1
1486,setback,1
1487,contraction,1
1488,budget,1
1489,deficit,1
1490,borrowing,1
1491,worsen,1
1492,condition,1
1493,trigger,1
1494,problem,1
1495,related,1
1496,economist,1
1497,britain,1
1498,accelerate,1
1499,midst,1
1500,liberalisation,1
1501,opening,1
1502,sector,1
1503,competition,1
1504,telecom,1
1505,experience,1
1506,implementation,1
1507,cyclical,1
1508,disparity,1
1509,advanced,1
1510,fuel,1
1511,whereby,1
1512,behind,1
1513,grandparent,1
1514,if,1
1515,deem,1
1516,reasonably,1
1517,subsequently,1
1518,topographic,1
1519,lie,1
1520,latitude,1
1521,n,1
1522,longitude,1
1523,terrain,1
1524,distribute,1
1525,hill,1
1526,dominate,1
1527,moldavian,1
1528,plateau,1
1529,basin,1
1530,ecosystem,1
1531,protect,1
1532,park,1
1533,biodiversity,1
1534,marshland,1
1535,undisturbed,1
1536,miss,1
1537,endanger,1
1538,vulnerable,1
1539,fauna,1
1540,animal,1
1541,invertebrate,1
1542,vertebrate,1
